First Name,Last Name,Position,Team,Projected Points
Lamar,Jackson,QB,BAL,376
Jayden,Daniels,QB,WAS,361
Josh,Allen,QB,BUF,370
Jalen,Hurts,QB,PHI,356
Joe,Burrow,QB,CIN,343
Patrick,Mahomes,QB,KC,318
Baker,Mayfield,QB,TB,316
Bo,Nix,QB,DEN,307
Justin,Fields,QB,NYJ,305
Kyler,Murray,QB,ARI,303
Caleb,Williams,QB,CHI,291
Justin,Herbert,QB,LAC,289
Dak,Prescott,QB,DAL,289
Brock,Purdy,QB,SF,298
Trevor,Lawrence,QB,JAC,272
Jared,Goff,QB,DET,284
Jordan,Love,QB,GB,279
Drake,Maye,QB,NE,269
J.J.,McCarthy,QB,MIN,277
C.J.,Stroud,QB,HOU,269
Tua,Tagovailoa,QB,MIA,256
Bryce,Young,QB,CAR,246
Geno,Smith,QB,LV,261
Matthew,Stafford,QB,LAR,256
Michael,Penix Jr.,QB,ATL,253
Cameron,Ward,QB,TEN,245
Sam,Darnold,QB,SEA,245
Aaron,Rodgers,QB,PIT,226
Russell,Wilson,QB,NYG,217
Daniel,Jones,QB,IND,131
Tyler,Shough,QB,NO,233
Jaxson,Dart,QB,NYG,66
Anthony,Richardson,QB,IND,164
Joe,Flacco,QB,CLE,84
Dillon,Gabriel,QB,CLE,48
Shedeur,Sanders,QB,CLE,47
Kenny,Pickett,QB,CLE,53
Spencer,Rattler,QB,NO,40
Jalen,Milroe,QB,SEA,27
Jameis,Winston,QB,NYG,16
Kirk,Cousins,QB,ATL,22
Deshaun,Watson,QB,CLE,14
Saquon,Barkley,RB,PHI,265
Bijan,Robinson,RB,ATL,253
Derrick,Henry,RB,BAL,255
Jahmyr,Gibbs,RB,DET,244
Jonathan,Taylor,RB,IND,224
Christian,McCaffrey,RB,SF,224
Ashton,Jeanty,RB,LV,221
Kyren,Williams,RB,LAR,214
Josh,Jacobs,RB,GB,217
De'Von,Achane,RB,MIA,212
Chase,Brown,RB,CIN,184
Bucky,Irving,RB,TB,211
James,Cook,RB,BUF,194
Kenneth,Walker III,RB,SEA,181
Breece,Hall,RB,NYJ,184
Omarion,Hampton,RB,LAC,169
Chuba,Hubbard,RB,CAR,177
James,Conner,RB,ARI,185
Alvin,Kamara,RB,NO,171
David,Montgomery,RB,DET,158
Isiah,Pacheco,RB,KC,146
Joe,Mixon,RB,HOU,151
Tony,Pollard,RB,TEN,154
Aaron,Jones,RB,MIN,148
TreVeyon,Henderson,RB,NE,143
Kaleb,Johnson,RB,PIT,147
Brian,Robinson Jr.,RB,WAS,147
D'Andre,Swift,RB,CHI,155
RJ,Harvey,RB,DEN,141
Jordan,Mason,RB,MIN,107
Jaylen,Warren,RB,PIT,124
Quinshon,Judkins,RB,CLE,110
Cam,Skattebo,RB,NYG,113
Tank,Bigsby,RB,JAC,102
Tyrone,Tracy Jr.,RB,NYG,126
Travis,Etienne Jr.,RB,JAC,105
J.K.,Dobbins,RB,DEN,114
Javonte,Williams,RB,DAL,109
Tyjae,Spears,RB,TEN,102
Rhamondre,Stevenson,RB,NE,107
Austin,Ekeler,RB,WAS,97
Bhayshul,Tuten,RB,JAC,67
Najee,Harris,RB,LAC,104
Braelon,Allen,RB,NYJ,64
Rachaad,White,RB,TB,92
Zach,Charbonnet,RB,SEA,96
Tyler,Allgeier,RB,ATL,82
Nick,Chubb,RB,HOU,84
Ray,Davis,RB,BUF,82
Isaac,Guerendo,RB,SF,78
Dylan,Sampson,RB,CLE,80
Jaylen,Wright,RB,MIA,70
Trey,Benson,RB,ARI,82
Jaydon,Blue,RB,DAL,73
Jerome,Ford,RB,CLE,88
Roschon,Johnson,RB,CHI,77
Elijah,Mitchell,RB,KC,45
Blake,Corum,RB,LAR,48
Kendre,Miller,RB,NO,61
MarShawn,Lloyd,RB,GB,57
Miles,Sanders,RB,DAL,60
Kareem,Hunt,RB,KC,48
Rico,Dowdle,RB,CAR,73
Jarquez,Hunter,RB,LAR,38
Justice,Hill,RB,BAL,59
Tahj,Brooks,RB,CIN,38
Jordan,James,RB,SF,29
Will,Shipley,RB,PHI,33
Trevor,Etienne,RB,CAR,33
DJ,Giddens,RB,IND,27
Ollie,Gordon II,RB,MIA,23
Raheem,Mostert,RB,LV,50
Jo'Quavious,Marks,RB,HOU,22
Kenneth,Gainwell,RB,PIT,34
Devin,Neal,RB,NO,30
Antonio,Gibson,RB,NE,31
Phil,Mafah,RB,DAL,2
Kyle,Monangai,RB,CHI,32
Brashard,Smith,RB,KC,18
Jacory,Croskey-Merritt,RB,WAS,28
Alexander,Mattison,RB,MIA,36
Ty,Johnson,RB,BUF,54
Samaje,Perine,RB,CIN,42
Isaiah,Davis,RB,NYJ,30
Devin,Singletary,RB,NYG,34
Gus,Edwards,RB,FA,23
Keaton,Mitchell,RB,BAL,40
Sean,Tucker,RB,TB,34
Emanuel,Wilson,RB,GB,37
AJ,Dillon,RB,PHI,45
Khalil,Herbert,RB,IND,45
Audric,Estime,RB,DEN,29
Cam,Akers,RB,NO,24
Chris,Rodriguez Jr.,RB,WAS,21
Emari,Demercado,RB,ARI,31
Jeremy,McNichols,RB,WAS,11
Jaleel,McLaughlin,RB,DEN,23
Damien,Martinez,RB,SEA,17
Dameon,Pierce,RB,HOU,33
LeQuint,Allen,RB,JAC,11
Ja'Marr,Chase,WR,CIN,212
Justin,Jefferson,WR,MIN,197
CeeDee,Lamb,WR,DAL,184
Puka,Nacua,WR,LAR,177
Nico,Collins,WR,HOU,187
Brian,Thomas Jr.,WR,JAC,175
Malik,Nabers,WR,NYG,176
A.J.,Brown,WR,PHI,174
Drake,London,WR,ATL,166
Amon-Ra,St. Brown,WR,DET,166
Tee,Higgins,WR,CIN,166
Tyreek,Hill,WR,MIA,153
Mike,Evans,WR,TB,166
Ladd,McConkey,WR,LAC,164
Davante,Adams,WR,LAR,160
Marvin,Harrison Jr.,WR,ARI,155
DK,Metcalf,WR,PIT,149
Terry,McLaurin,WR,WAS,150
Jameson,Williams,WR,DET,134
Rashee,Rice,WR,KC,126
DJ,Moore,WR,CHI,139
Courtland,Sutton,WR,DEN,141
Garrett,Wilson,WR,NYJ,136
Xavier,Worthy,WR,KC,139
Tetairoa,McMillan,WR,CAR,125
Jaylen,Waddle,WR,MIA,125
George,Pickens,WR,DAL,133
DeVonta,Smith,WR,PHI,139
Jaxon,Smith-Njigba,WR,SEA,139
Zay,Flowers,WR,BAL,132
Travis,Hunter,WR,JAC,118
Calvin,Ridley,WR,TEN,130
Deebo,Samuel,WR,WAS,124
Jayden,Reed,WR,GB,119
Rome,Odunze,WR,CHI,119
Jordan,Addison,WR,MIN,113
Chris,Olave,WR,NO,115
Jauan,Jennings,WR,SF,125
Jakobi,Meyers,WR,LV,120
Jerry,Jeudy,WR,CLE,128
Chris,Godwin,WR,TB,120
Ricky,Pearsall,WR,SF,109
Keon,Coleman,WR,BUF,110
Khalil,Shakir,WR,BUF,110
Stefon,Diggs,WR,NE,105
Matthew,Golden,WR,GB,112
Rashid,Shaheed,WR,NO,111
Darnell,Mooney,WR,ATL,110
Josh,Downs,WR,IND,101
Brandon,Aiyuk,WR,SF,97
Michael,Pittman,WR,IND,100
Cooper,Kupp,WR,SEA,103
Marquise,Brown,WR,KC,93
Jayden,Higgins,WR,HOU,91
Christian,Kirk,WR,HOU,91
Tre,Harris,WR,LAC,97
Rashod,Bateman,WR,BAL,98
Romeo,Doubs,WR,GB,86
Emeka,Egbuka,WR,TB,93
Quentin,Johnston,WR,LAC,92
Marvin,Mims Jr.,WR,DEN,95
Joshua,Palmer,WR,BUF,78
Luther,Burden III,WR,CHI,71
Cedric,Tillman,WR,CLE,83
Xavier,Legette,WR,CAR,78
Kyle,Williams,WR,NE,79
Jack,Bech,WR,LV,77
Michael,Wilson,WR,ARI,82
Adam,Thielen,WR,CAR,91
Darius,Slayton,WR,NYG,70
Amari,Cooper,WR,FA,64
Alec,Pierce,WR,IND,80
Diontae,Johnson,WR,CLE,53
Jalen,McMillan,WR,TB,65
Keenan,Allen,WR,FA,60
Dontayvion,Wicks,WR,GB,58
Demario,Douglas,WR,NE,71
Wan'Dale,Robinson,WR,NYG,76
Jalen,Coker,WR,CAR,55
Jalen,Nailor,WR,MIN,57
Pat,Bryant,WR,DEN,48
Christian,Watson,WR,GB,51
Dyami,Brown,WR,JAC,62
Tyler,Lockett,WR,TEN,70
Ray-Ray,McCloud III,WR,ATL,56
Dont'e,Thornton Jr.,WR,LV,62
Kayshon,Boutte,WR,NE,47
DeAndre,Hopkins,WR,BAL,70
Jaylin,Noel,WR,HOU,48
Andrei,Iosivas,WR,CIN,55
Josh,Reynolds,WR,NYJ,50
Tutu,Atwell,WR,LAR,57
Nick,Westbrook-Ikhine,WR,MIA,60
Calvin,Austin III,WR,PIT,78
Adonai,Mitchell,WR,IND,42
Troy,Franklin,WR,DEN,45
Gabriel,Davis,WR,FA,44
Marquez,Valdes-Scantling,WR,SEA,53
Noah,Brown,WR,WAS,49
Mack,Hollins,WR,NE,24
Brock,Bowers,TE,LV,143
George,Kittle,TE,SF,151
Trey,McBride,TE,ARI,136
Sam,LaPorta,TE,DET,113
Mark,Andrews,TE,BAL,106
David,Njoku,TE,CLE,101
T.J.,Hockenson,TE,MIN,100
Travis,Kelce,TE,KC,99
Tucker,Kraft,TE,GB,96
Dalton,Kincaid,TE,BUF,82
Tyler,Warren,TE,IND,80
Dallas,Goedert,TE,PHI,88
Colston,Loveland,TE,CHI,83
Jake,Ferguson,TE,DAL,86
Kyle,Pitts,TE,ATL,79
Isaiah,Likely,TE,BAL,73
Evan,Engram,TE,DEN,81
Zach,Ertz,TE,WAS,84
Hunter,Henry,TE,NE,76
Jonnu,Smith,TE,PIT,73
Mike,Gesicki,TE,CIN,73
Cade,Otton,TE,TB,73
Chigoziem,Okonkwo,TE,TEN,72
Brenton,Strange,TE,JAC,71
Juwan,Johnson,TE,NO,68
Dalton,Schultz,TE,HOU,71
Pat,Freiermuth,TE,PIT,71
Darren,Waller,TE,MIA,75
Mason,Taylor,TE,NYJ,64
Theo,Johnson,TE,NYG,62
Elijah,Arroyo,TE,SEA,56
Ja'Tavion,Sanders,TE,CAR,52
Cole,Kmet,TE,CHI,50
Taysom,Hill,TE,NO,69
Noah,Fant,TE,FA,45
Terrance,Ferguson,TE,LAR,27
Tyler,Higbee,TE,LAR,63
Harold,Fannin Jr.,TE,CLE,32
Will,Dissly,TE,LAC,48
Noah,Gray,TE,KC,51
AJ,Barner,TE,SEA,40
Oronde,Gadsden II,TE,LAC,22
Austin,Hooper,TE,NE,35
Foster,Moreau,TE,NO,40
Tyler,Conklin,TE,LAC,44
Michael,Mayer,TE,LV,31
Luke,Musgrave,TE,GB,23
Cade,Stover,TE,HOU,20
Dawson,Knox,TE,BUF,29
Gerald,Everett,TE,FA,17
